site_id,year,date,lon,lat,latin,presence
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Clinostomus funduloides,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Etheostoma flabellare,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Hybopsis hypsinotus,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Lepomis auritus,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Moxostoma rupiscartes,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Nocomis leptocephalus,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Notropis chiliticus,1
finsync_nrs_nc-10013,2009,2009-06-27,-81.51025083,36.1118797,Semotilus atromaculatus,1
finsync_nrs_nc-10014,2009,2009-06-03,-80.35988698,35.87615762,Clinostomus funduloides,1
finsync_nrs_nc-10014,2009,2009-06-03,-80.35988698,35.87615762,Fundulus rathbuni,1
finsync_nrs_nc-10014,2009,2009-06-03,-80.35988698,35.87615762,Semotilus atromaculatus,1
finsync_nrs_nc-10020,2009,2009-06-13,-81.74472009,35.64379261,Clinostomus funduloides,1
finsync_nrs_nc-10020,2009,2009-06-13,-81.74472009,35.64379261,Etheostoma flabellare,1
finsync_nrs_nc-10020,2009,2009-06-13,-81.74472009,35.64379261,Nocomis leptocephalus,1
finsync_nrs_nc-10020,2009,2009-06-13,-81.74472009,35.64379261,Semotilus atromaculatus,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Ambloplites rupestris,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Campostoma anomalum,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Catostomus commersonii,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Cottus bairdii,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Cyprinella galactura,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Etheostoma flabellare,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Etheostoma swannanoa,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Etheostoma zonale,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Hybopsis amblops,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Hypentelium nigricans,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Lepomis auritus,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Nocomis micropogon,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Rhinichthys atratulus,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Rhinichthys cataractae,1
finsync_nrs_nc-10023,2009,2009-06-16,-82.77898224,35.68219607,Semotilus atromaculatus,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Aphredoderus sayanus,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Centrarchus macropterus,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Esox americanus,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Gambusia affinis,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Lepomis gulosus,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Notemigonus crysoleucas,1
finsync_nrs_nc-10024,2009,2009-06-07,-77.7538446,35.38552971,Umbra pygmaea,1
finsync_nrs_nc-10027,2009,2009-06-20,-83.696776,35.02466855,Cottus bairdii,1
finsync_nrs_nc-10027,2009,2009-06-20,-83.696776,35.02466855,Oncorhynchus mykiss,1
finsync_nrs_nc-10029,2009,2009-06-04,-80.65668257,35.16118924,Clinostomus funduloides,1
finsync_nrs_nc-10029,2009,2009-06-04,-80.65668257,35.16118924,Lepomis cyanellus,1
finsync_nrs_nc-10029,2009,2009-06-04,-80.65668257,35.16118924,Semotilus atromaculatus,1
finsync_nrs_nc-10034,2009,2009-06-28,-82.04496954,36.09917138,Oncorhynchus mykiss,1
finsync_nrs_nc-10034,2009,2009-06-28,-82.04496954,36.09917138,Rhinichthys cataractae,1
finsync_nrs_nc-10034,2009,2009-06-28,-82.04496954,36.09917138,Salmo trutta,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Ameiurus platycephalus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Etheostoma flabellare,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Etheostoma olmstedi,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Gambusia holbrooki,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Lepomis auritus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Lepomis cyanellus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Lepomis gibbosus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Lepomis gulosus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Lepomis macrochirus,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Micropterus salmoides,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Notropis petersoni,1
finsync_nrs_nc-10041,2019,2019-07-10,-80.46558258,35.04365233,Pomoxis nigromaculatus,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Ameiurus natalis,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Anguilla rostrata,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Aphredoderus sayanus,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Centrarchus macropterus,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Enneacanthus chaetodon,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Enneacanthus gloriosus,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Esox americanus,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Gambusia holbrooki,1
finsync_nrs_nc-10049,2013,2013-09-22,-77.96322,34.58249,Lepomis gulosus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Ambloplites rupestris,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Cottus bairdii,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Cyprinella galactura,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Etheostoma blennioides,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Hypentelium nigricans,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Ichthyomyzon greeleyi,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Lepomis auritus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Lepomis cyanellus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Lepomis macrochirus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Luxilus coccogenis,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Micropterus salmoides,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Moxostoma erythrurum,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Nocomis micropogon,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Notropis leuciodus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Notropis spectrunculus,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Perca flavescens,1
finsync_nrs_nc-10052,2019,2019-08-14,-84.02452301,35.06056645,Semotilus atromaculatus,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Cyprinella chloristia,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Etheostoma olmstedi,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Gambusia holbrooki,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Lepomis auritus,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Lepomis cyanellus,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Lepomis macrochirus,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Micropterus salmoides,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Moxostoma collapsum,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Nocomis leptocephalus,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Notropis hudsonius,1
finsync_nrs_nc-10062,2013,2013-07-18,-80.7245,35.39708,Noturus insignis,1
finsync_nrs_nc-10066,2013,2013-07-22,-81.40958,35.4757,Ameiurus brunneus,1
finsync_nrs_nc-10066,2013,2013-07-22,-81.40958,35.4757,Catostomus commersonii,1
finsync_nrs_nc-10066,2013,2013-07-22,-81.40958,35.4757,Clinostomus funduloides,1
finsync_nrs_nc-10066,2013,2013-07-22,-81.40958,35.4757,Etheostoma flabellare,1
